NAME.FIB	category	SIZE_FIB	NES_FIB	NOM.p.val	FDR.q.val	NAME.ESC	SIZE_ESC	NES_ESC	NOM.p.val.1	FDR.q.val.1	fib_add_esc	fib_minus_esc
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR	c2.CGP_ chemical and genetic perturbations	77	2.3154259	0	0	ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR	77	-1.6588099	0	0.06880856	0.656616	3.9742358
GNF2_CCNA2	c4.CGN_ cancer gene neighborhoods	66	2.3076653	0	0	GNF2_CCNA2	66	1.2380098	0.12459372	0.5287975	3.5456751	1.0696555
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	c2.CGP_ chemical and genetic perturbations	130	2.305436	0	0	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	130	0.83348775	0.8246888	1	3.13892375	1.47194825
DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	c2.CGP_ chemical and genetic perturbations	296	2.3050807	0	0	DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	300	-1.2107177	0	0.36788628	1.094363	3.5157984
MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_DN	c2.CGP_ chemical and genetic perturbations	47	2.3044913	0	0	MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_DN	47	0.8556135	0.718294	1	3.1601048	1.4488778
ZHANG_TLX_TARGETS_DN	c2.CGP_ chemical and genetic perturbations	87	2.2975068	0	0	ZHANG_TLX_TARGETS_DN	87	-1.9844267	0	0.009506441	0.3130801	4.2819335
GNF2_CCNB2	c4.CGN_ cancer gene neighborhoods	55	2.2951384	0	0	GNF2_CCNB2	55	1.3273326	0.07236842	0.40464127	3.622471	0.9678058
GNF2_PCNA	c4.CGN_ cancer gene neighborhoods	65	2.2862422	0	0	GNF2_PCNA	65	0.92323625	0.6202805	1	3.20947845	1.36300595
GNF2_HMMR	c4.CGN_ cancer gene neighborhoods	47	2.274189	0	0	GNF2_HMMR	47	1.3347219	0.08022599	0.3979096	3.6089109	0.9394671
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_UP	C7_ immunologic signatures	140	2.2690163	0	0	GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_UP	143	1.1291078	0.25643668	0.7076546	3.3981241	1.1399085
ZHAN_MULTIPLE_MYELOMA_PR_UP	c2.CGP_ chemical and genetic perturbations	40	2.2624507	0	0	ZHAN_MULTIPLE_MYELOMA_PR_UP	40	1.3816003	0.044879172	0.35616276	3.644051	0.8808504
ISHIDA_E2F_TARGETS	c2.CGP_ chemical and genetic perturbations	48	2.2614703	0	0	ISHIDA_E2F_TARGETS	48	-1.2524072	0.11	0.32104066	1.0090631	3.5138775
GNF2_CENPE	c4.CGN_ cancer gene neighborhoods	39	2.2435346	0	0	GNF2_CENPE	39	1.5031661	0.012716763	0.2502827	3.7467007	0.7403685
GO_MITOTIC_SISTER_CHROMATID_SEGREGATION	c5.BP_ GO biological process	82	2.237635	0	0	GO_MITOTIC_SISTER_CHROMATID_SEGREGATION	82	1.3537788	0.045310855	0.38241583	3.5914138	0.8838562
GSE14415_NATURAL_TREG_VS_TCONV_DN	C7_ immunologic signatures	164	2.234346	0	0	GSE14415_NATURAL_TREG_VS_TCONV_DN	165	0.8200011	0.8655207	1	3.0543471	1.4143449
REICHERT_MITOSIS_LIN9_TARGETS	c2.CGP_ chemical and genetic perturbations	27	2.2337132	0	0	REICHERT_MITOSIS_LIN9_TARGETS	27	1.621994	0.00124533	0.13936126	3.8557072	0.6117192
GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TREG_UP	C7_ immunologic signatures	173	2.232174	0	0	GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TREG_UP	173	0.71347755	0.9646107	1	2.94565155	1.51869645
ODONNELL_TFRC_TARGETS_DN	c2.CGP_ chemical and genetic perturbations	119	2.231764	0	0	ODONNELL_TFRC_TARGETS_DN	120	1.0590056	0.3846154	0.82652175	3.2907696	1.1727584
CHANG_CYCLING_GENES	c2.CGP_ chemical and genetic perturbations	131	2.223086	0	0	CHANG_CYCLING_GENES	131	0.8967387	0.7236025	1	3.1198247	1.3263473
GO_NUCLEAR_CHROMOSOME_SEGREGATION	c5.BP_ GO biological process	194	2.2226744	0	0	GO_NUCLEAR_CHROMOSOME_SEGREGATION	200	1.3234265	0.009063444	0.41042	3.5461009	0.8992479
NABA_ECM_GLYCOPROTEINS	c2.CP_ Canonical pathways	168	2.2185538	0	0	NABA_ECM_GLYCOPROTEINS	179	1.6510966	0	0.11439832	3.8696504	0.5674572
GNF2_ESPL1	c4.CGN_ cancer gene neighborhoods	35	2.2072906	0	0	GNF2_ESPL1	35	0.9170528	0.62893814	1	3.1243434	1.2902378
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	c2.CGP_ chemical and genetic perturbations	135	2.2020206	0	0	SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	135	0.8879075	0.73346895	1	3.0899281	1.3141131
KANG_DOXORUBICIN_RESISTANCE_UP	c2.CGP_ chemical and genetic perturbations	49	2.2011592	0	0	KANG_DOXORUBICIN_RESISTANCE_UP	49	1.0079904	0.47362515	0.91055024	3.2091496	1.1931688
GO_SISTER_CHROMATID_SEGREGATION	c5.BP_ GO biological process	157	2.1963773	0	0	GO_SISTER_CHROMATID_SEGREGATION	158	1.1922013	0.11734694	0.6027096	3.3885786	1.004176
GO_CHROMOSOME_SEGREGATION	c5.BP_ GO biological process	234	2.195088	0	0	GO_CHROMOSOME_SEGREGATION	240	1.2603891	0.02414487	0.49598998	3.4554771	0.9346989
WHITFIELD_CELL_CYCLE_LITERATURE	c2.CGP_ chemical and genetic perturbations	44	2.1936727	0	0	WHITFIELD_CELL_CYCLE_LITERATURE	44	-1.5088285	0.0078125	0.13710012	0.6848442	3.7025012
GNF2_RRM2	c4.CGN_ cancer gene neighborhoods	40	2.1896958	0	0	GNF2_RRM2	40	1.4722608	0.027842227	0.27604064	3.6619566	0.717435
GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP	C7_ immunologic signatures	183	2.1818633	0	2.29E-05	GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP	184	-0.99221575	0.5	0.69853806	1.18964755	3.17407905
GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN	C7_ immunologic signatures	174	2.1766632	0	2.24E-05	GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN	174	0.9236433	0.68421054	1	3.1003065	1.2530199
GNF2_MKI67	c4.CGN_ cancer gene neighborhoods	27	2.1651971	0	2.19E-05	GNF2_MKI67	27	1.5389843	0.015834348	0.21070127	3.7041814	0.6262128
TANG_SENESCENCE_TP53_TARGETS_DN	c2.CGP_ chemical and genetic perturbations	52	2.1646588	0	2.14E-05	TANG_SENESCENCE_TP53_TARGETS_DN	52	1.1705399	0.21331829	0.63740253	3.3351987	0.9941189
GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_UP	C7_ immunologic signatures	183	2.1589003	0	2.09E-05	GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_UP	186	0.8449187	0.8363821	1	3.003819	1.3139816
NABA_CORE_MATRISOME	c2.CP_ Canonical pathways	238	2.1487718	0	2.04E-05	NABA_CORE_MATRISOME	249	1.6124402	0	0.14787738	3.761212	0.5363316
GSE35543_IN_VITRO_ITREG_VS_CONVERTED_EX_ITREG_UP	C7_ immunologic signatures	182	2.1351216	0	2.00E-05	GSE35543_IN_VITRO_ITREG_VS_CONVERTED_EX_ITREG_UP	182	0.9537972	0.61538464	0.9777275	3.0889188	1.1813244
GNF2_RRM1	c4.CGN_ cancer gene neighborhoods	83	2.1337764	0	1.96E-05	GNF2_RRM1	83	0.91117615	0.65531915	1	3.04495255	1.22260025
GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_2H_UP	C7_ immunologic signatures	162	2.1280377	0	1.92E-05	GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_2H_UP	166	1.0430055	0.39473686	0.8534308	3.1710432	1.0850322
MCMURRAY_TP53_HRAS_COOPERATION_RESPONSE_DN	c2.CGP_ chemical and genetic perturbations	62	2.1275573	0	1.88E-05	MCMURRAY_TP53_HRAS_COOPERATION_RESPONSE_DN	63	1.9101015	0	0.008701779	4.0376588	0.2174558
BURTON_ADIPOGENESIS_3	c2.CGP_ chemical and genetic perturbations	99	2.12385	0	1.84E-05	BURTON_ADIPOGENESIS_3	99	-1.1822357	0.0882353	0.40256038	0.9416143	3.3060857
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	c2.CGP_ chemical and genetic perturbations	149	2.1219463	0	1.81E-05	HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	152	0.8038569	0.86809814	1	2.9258032	1.3180894
PYEON_HPV_POSITIVE_TUMORS_UP	c2.CGP_ chemical and genetic perturbations	79	2.1211874	0	1.77E-05	PYEON_HPV_POSITIVE_TUMORS_UP	78	-1.3597802	0.015873017	0.23471324	0.7614072	3.4809676
GO_EXTRACELLULAR_MATRIX	c5.CC_ GO cellular component	358	2.1200643	0	1.74E-05	GO_EXTRACELLULAR_MATRIX	384	1.4024907	0	0.3365544	3.522555	0.7175736
GNF2_BUB1	c4.CGN_ cancer gene neighborhoods	26	2.1190999	0	1.71E-05	GNF2_BUB1	26	0.80534756	0.7708082	1	2.92444746	1.31375234
GO_CHROMOSOME_CENTROMERIC_REGION	c5.CC_ GO cellular component	155	2.1185548	0	1.68E-05	GO_CHROMOSOME_CENTROMERIC_REGION	156	0.96469074	0.5875764	0.9653944	3.08324554	1.15386406
GO_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	c5.CC_ GO cellular component	85	2.117521	0	1.65E-05	GO_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	86	1.1326791	0.24546425	0.7018288	3.2502001	0.9848419
AMUNDSON_GAMMA_RADIATION_RESPONSE	c2.CGP_ chemical and genetic perturbations	39	2.1167536	0	1.62E-05	AMUNDSON_GAMMA_RADIATION_RESPONSE	39	1.32544	0.09942196	0.4067504	3.4421936	0.7913136
VERNELL_RETINOBLASTOMA_PATHWAY_UP	c2.CGP_ chemical and genetic perturbations	65	2.1126585	0	1.59E-05	VERNELL_RETINOBLASTOMA_PATHWAY_UP	66	-2.3883898	0	0	-0.2757313	4.5010483
GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	C7_ immunologic signatures	155	2.1073997	0	1.57E-05	GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	159	1.2710881	0.052200615	0.4839425	3.3784878	0.8363116
CROONQUIST_IL6_DEPRIVATION_DN	c2.CGP_ chemical and genetic perturbations	95	2.1065726	0	1.54E-05	CROONQUIST_IL6_DEPRIVATION_DN	95	-1.24986	0.06521739	0.32351708	0.8567126	3.3564326
ZHANG_TLX_TARGETS_36HR_DN	c2.CGP_ chemical and genetic perturbations	178	2.096143	0	3.05E-05	ZHANG_TLX_TARGETS_36HR_DN	178	-1.538509	0	0.12126102	0.557634	3.634652
GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_UP	C7_ immunologic signatures	165	2.0934744	0	3.00E-05	GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_UP	168	0.96032095	0.5914634	0.97129977	3.05379535	1.13315345
GO_EXTRACELLULAR_MATRIX_COMPONENT	c5.CC_ GO cellular component	113	2.0882633	0	2.95E-05	GO_EXTRACELLULAR_MATRIX_COMPONENT	115	1.2716368	0.06741573	0.48349825	3.3599001	0.8166265
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP	c2.CGP_ chemical and genetic perturbations	82	2.0841782	0	4.35E-05	NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP	82	1.1991937	0.16666667	0.5933817	3.2833719	0.8849845
WHITFIELD_CELL_CYCLE_G2	c2.CGP_ chemical and genetic perturbations	160	2.0795038	0	4.29E-05	WHITFIELD_CELL_CYCLE_G2	161	1.4324642	0.00101833	0.3121264	3.511968	0.6470396
MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	c2.CGP_ chemical and genetic perturbations	80	2.0732117	0	7.03E-05	MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	81	-1.0919954	0.24	0.5302583	0.9812163	3.1652071
GO_MITOTIC_NUCLEAR_DIVISION	c5.BP_ GO biological process	326	2.070263	0	8.31E-05	GO_MITOTIC_NUCLEAR_DIVISION	329	1.038702	0.369	0.8606342	3.108965	1.031561
GO_CONDENSED_CHROMOSOME	c5.CC_ GO cellular component	166	2.0697007	0	9.56E-05	GO_CONDENSED_CHROMOSOME	171	1.2885662	0.034412954	0.46058774	3.3582669	0.7811345
GNF2_SMC4L1	c4.CGN_ cancer gene neighborhoods	81	2.0669763	0	9.42E-05	GNF2_SMC4L1	81	-1.4073733	0	0.2017133	0.659603	3.4743496
GILDEA_METASTASIS	c2.CGP_ chemical and genetic perturbations	23	2.0659518	0	9.29E-05	GILDEA_METASTASIS	24	-0.92732775	0.5888889	0.7872784	1.13862405	2.99327955
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	c2.CGP_ chemical and genetic perturbations	61	2.0612142	0	0.000104608	ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	61	-1.1809231	0.12345679	0.40314865	0.8802911	3.2421373
GO_PROTEINACEOUS_EXTRACELLULAR_MATRIX	c5.CC_ GO cellular component	296	2.0604706	0	0.000103175	GO_PROTEINACEOUS_EXTRACELLULAR_MATRIX	321	1.3333772	0	0.399881	3.3938478	0.7270934
GO_KINETOCHORE	c5.CC_ GO cellular component	105	2.0579267	0	0.000101781	GO_KINETOCHORE	106	1.0428143	0.4018595	0.8538036	3.100741	1.0151124
RICKMAN_HEAD_AND_NECK_CANCER_F	c2.CGP_ chemical and genetic perturbations	41	2.056415	0	0.000100424	RICKMAN_HEAD_AND_NECK_CANCER_F	49	1.611063	0.002290951	0.1478612	3.667478	0.445352
RB_P107_DN.V1_UP	C6_ oncogenic signatures	129	2.0510054	0	0.000136178	RB_P107_DN.V1_UP	131	-1.590534	0	0.09447536	0.4604714	3.6415394
GNF2_TTK	c4.CGN_ cancer gene neighborhoods	38	2.0496604	0	0.000146575	GNF2_TTK	38	1.297108	0.11280846	0.44712454	3.3467684	0.7525524
MORI_IMMATURE_B_LYMPHOCYTE_DN	c2.CGP_ chemical and genetic perturbations	85	2.049573	0	0.000144696	MORI_IMMATURE_B_LYMPHOCYTE_DN	86	-1.4850863	0.016949153	0.15162657	0.5644867	3.5346593
GO_SPINDLE_POLE	c5.CC_ GO cellular component	110	2.0464482	0	0.000178538	GO_SPINDLE_POLE	110	1.3081301	0.042094454	0.42848828	3.3545783	0.7383181
GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_UP	C7_ immunologic signatures	152	2.0448916	0	0.000176306	GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_UP	153	1.4025315	0.005138746	0.33678415	3.4474231	0.6423601
GNF2_SMC2L1	c4.CGN_ cancer gene neighborhoods	32	2.0448856	0	0.00017413	GNF2_SMC2L1	32	1.1973261	0.19952211	0.5972169	3.2422117	0.8475595
GO_ORGANELLE_FISSION	c5.BP_ GO biological process	430	2.0438328	0	0.000172006	GO_ORGANELLE_FISSION	441	1.2103025	0.022	0.57612526	3.2541353	0.8335303
BURTON_ADIPOGENESIS_PEAK_AT_24HR	c2.CGP_ chemical and genetic perturbations	42	2.0376892	0	0.000215276	BURTON_ADIPOGENESIS_PEAK_AT_24HR	40	1.5978113	0.006944445	0.16138306	3.6355005	0.4398779
GNF2_H2AFX	c4.CGN_ cancer gene neighborhoods	30	2.0375395	0	0.000212713	GNF2_H2AFX	30	1.2824867	0.12860577	0.4689355	3.3200262	0.7550528
GNF2_BUB1B	c4.CGN_ cancer gene neighborhoods	49	2.0338924	0	0.00021021	GNF2_BUB1B	49	0.99781686	0.5050392	0.9259743	3.03170926	1.03607554
GREENBAUM_E2A_TARGETS_UP	c2.CGP_ chemical and genetic perturbations	30	2.032213	0	0.000218703	GREENBAUM_E2A_TARGETS_UP	31	1.1655763	0.24792407	0.6460736	3.1977893	0.8666367
GO_CHROMOSOME_CONDENSATION	c5.BP_ GO biological process	24	2.0305884	0	0.000226945	GO_CHROMOSOME_CONDENSATION	25	1.2683764	0.15782984	0.4866515	3.2989648	0.762212
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD11B_DC_DN	C7_ immunologic signatures	139	2.029737	0	0.000224366	GSE45365_HEALTHY_VS_MCMV_INFECTION_CD11B_DC_DN	144	1.357391	0.01734694	0.37924546	3.387128	0.672346
GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_WITH_IL2_TREATMENT_UP	C7_ immunologic signatures	183	2.0257876	0	0.000232406	GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_WITH_IL2_TREATMENT_UP	187	0.96823394	0.5925177	0.96350753	2.99402154	1.05755366
GO_CENTROSOME_CYCLE	c5.BP_ GO biological process	43	2.0241678	0	0.000240301	GO_CENTROSOME_CYCLE	43	0.92583156	0.5986079	1	2.94999936	1.09833624
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	c2.CGP_ chemical and genetic perturbations	179	2.0232573	0	0.000237661	PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	184	1.2882476	0.032128513	0.4611906	3.3115049	0.7350097
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_DN	C7_ immunologic signatures	157	2.0226738	0	0.000235077	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_DN	154	1.3944838	0.006116208	0.3454734	3.4171576	0.62819
GO_STRAND_DISPLACEMENT	c5.BP_ GO biological process	24	2.0189805	0	0.000242668	GO_STRAND_DISPLACEMENT	24	-1.5087999	0.02347418	0.13685994	0.5101806	3.5277804
WHITEFORD_PEDIATRIC_CANCER_MARKERS	c2.CGP_ chemical and genetic perturbations	106	2.0188637	0	0.000250159	WHITEFORD_PEDIATRIC_CANCER_MARKERS	107	0.8419065	0.7875	1	2.8607702	1.1769572
GSE2405_S_AUREUS_VS_UNTREATED_NEUTROPHIL_DN	C7_ immunologic signatures	182	2.0175488	0	0.000257382	GSE2405_S_AUREUS_VS_UNTREATED_NEUTROPHIL_DN	186	0.87489474	0.7777778	1	2.89244354	1.14265406
GO_SISTER_CHROMATID_COHESION	c5.BP_ GO biological process	98	2.0157437	0	0.000274251	GO_SISTER_CHROMATID_COHESION	99	0.93747514	0.6165099	0.9933122	2.95321884	1.07826856
KOBAYASHI_EGFR_SIGNALING_24HR_DN	c2.CGP_ chemical and genetic perturbations	236	2.014553	0	0.000281198	KOBAYASHI_EGFR_SIGNALING_24HR_DN	236	-1.5621548	0	0.10832647	0.4523982	3.5767078
CROONQUIST_NRAS_SIGNALING_DN	c2.CGP_ chemical and genetic perturbations	69	2.013082	0	0.000278329	CROONQUIST_NRAS_SIGNALING_DN	69	0.97398645	0.5650273	0.95691764	2.98706845	1.03909555
LINDVALL_IMMORTALIZED_BY_TERT_DN	c2.CGP_ chemical and genetic perturbations	73	2.0117056	0	0.000285001	LINDVALL_IMMORTALIZED_BY_TERT_DN	74	1.1954721	0.18063112	0.59698457	3.2071777	0.8162335
BROWNE_HCMV_INFECTION_2HR_UP	c2.CGP_ chemical and genetic perturbations	33	2.0113184	0	0.000291537	BROWNE_HCMV_INFECTION_2HR_UP	33	1.224083	0.20070012	0.55063695	3.2354014	0.7872354
GNF2_MCM4	c4.CGN_ cancer gene neighborhoods	52	2.009415	0	0.00028865	GNF2_MCM4	52	0.8826515	0.670045	1	2.8920665	1.1267635
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_DN	C7_ immunologic signatures	156	2.0031621	0	0.000294957	GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_DN	152	1.2178959	0.10390946	0.5600342	3.221058	0.7852662
GO_POSITIVE_REGULATION_OF_CYTOKINESIS	c5.BP_ GO biological process	27	2.002294	0	0.00030126	GO_POSITIVE_REGULATION_OF_CYTOKINESIS	29	1.0204015	0.45768774	0.8914635	3.0226955	0.9818925
GO_CHROMOSOME_LOCALIZATION	c5.BP_ GO biological process	54	2.001214	0	0.0003074	GO_CHROMOSOME_LOCALIZATION	55	1.1632946	0.23898679	0.64795744	3.1645086	0.8379194
GO_REGULATION_OF_MICROTUBULE_BASED_PROCESS	c5.BP_ GO biological process	214	1.998376	0	0.000340323	GO_REGULATION_OF_MICROTUBULE_BASED_PROCESS	217	1.0496813	0.3700708	0.84066105	3.0480573	0.9486947
GSE45365_WT_VS_IFNAR_KO_BCELL_DN	C7_ immunologic signatures	138	1.9921737	0	0.000354851	GSE45365_WT_VS_IFNAR_KO_BCELL_DN	144	1.2678846	0.06026558	0.48690256	3.2600583	0.7242891
MODULE_54	c4.CM_ cancer modules	230	1.9915825	0	0.000351534	MODULE_54	234	0.810484	0.89849246	1	2.8020665	1.1810985
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP	c2.CGP_ chemical and genetic perturbations	64	1.9905313	0	0.000357023	TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP	64	0.78012365	0.8490153	1	2.77065495	1.21040765
GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	C7_ immunologic signatures	173	1.9892881	0	0.000362319	GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	178	-1.0497085	0.2631579	0.60639066	0.9395796	3.0389966
GO_MITOTIC_SPINDLE_ORGANIZATION	c5.BP_ GO biological process	62	1.9854223	0	0.000410455	GO_MITOTIC_SPINDLE_ORGANIZATION	63	1.2558057	0.12087912	0.5016508	3.241228	0.7296166
GSE21063_WT_VS_NFATC1_KO_8H_ANTI_IGM_STIM_BCELL_UP	C7_ immunologic signatures	179	1.9829623	0	0.00045751	GSE21063_WT_VS_NFATC1_KO_8H_ANTI_IGM_STIM_BCELL_UP	181	0.94487655	0.6313646	0.9875846	2.92783885	1.03808575
FARMER_BREAST_CANCER_CLUSTER_2	c2.CGP_ chemical and genetic perturbations	30	1.9775095	0.001510574	0.000503774	FARMER_BREAST_CANCER_CLUSTER_2	31	0.8638808	0.68082523	1	2.8413903	1.1136287
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP	c2.CGP_ chemical and genetic perturbations	264	1.976974	0	0.000507659	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP	261	0.9141367	0.7306533	1	2.8911107	1.0628373
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_DN	C7_ immunologic signatures	159	1.9769621	0	0.000503206	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_DN	159	1.3225392	0.017223911	0.41171667	3.2995013	0.6544229
FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_UP	c2.CGP_ chemical and genetic perturbations	141	1.9735491	0	0.000515265	FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_UP	144	0.79774696	0.89081633	1	2.77129606	1.17580214
RUIZ_TNC_TARGETS_DN	c2.CGP_ chemical and genetic perturbations	133	1.9728254	0	0.000510823	RUIZ_TNC_TARGETS_DN	132	-1.5318935	0	0.12444296	0.4409319	3.5047189
GO_POSITIVE_REGULATION_OF_CELL_DIVISION	c5.BP_ GO biological process	105	1.972191	0	0.000506457	GO_POSITIVE_REGULATION_OF_CELL_DIVISION	113	1.205241	0.14895834	0.58253825	3.177432	0.76695
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H_ hallmark gene sets	190	1.9685831	0	0.000541943	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	191	0.8067356	0.89658636	1	2.7753187	1.1618475
GO_CENTROMERE_COMPLEX_ASSEMBLY	c5.BP_ GO biological process	31	1.9638509	0	0.000592694	GO_CENTROMERE_COMPLEX_ASSEMBLY	31	0.9949048	0.5041225	0.9301575	2.9587557	0.9689461
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_DN	C7_ immunologic signatures	165	1.9612005	0	0.000642528	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_DN	162	1.2363878	0.076767676	0.5310748	3.1975883	0.7248127
